what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1416922544536
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1416922544545
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1416922544552
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1416922544567
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1416922544587
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1416922544590
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1416922544611
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1416922544626
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1416922544628
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1416922544634
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1416922544637
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1416922544681
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1416922544718
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1416922544720
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1416922544729
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416922544737
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416922544821
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416922544821
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416922544836
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416922544837
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1416922544944
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416922544951
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1416922545051
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1416922545106
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1416922545201
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1416922545202
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1416922545204
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1416922545256
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1416922545350
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1416922545354
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1416922545392
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1416922545447
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1416922545455
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1416922545461
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1416922545479
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1416922545479
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1416922545492
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1416922545495
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1416922545512
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1416922545523
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1416922545539
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1416922545543
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416922545545
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1416922545547
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416922545563
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1416922545583
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1416922545591
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1416922545593
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1416922545593
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1416922545603
started,bundle,org.eclipse.m2e.discovery,1.3.1.20130219-1424,"org.eclipse.m2e.discovery",1416922545613
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1416922545613
started,bundle,org.eclipse.team.svn.core,1.0.1.I20130306-1700,"org.eclipse.team.svn.core",1416922545616
started,bundle,org.eclipse.team.svn.mylyn,1.0.0.I20130122-1700,"org.eclipse.team.svn.mylyn",1416922545616
started,bundle,org.eclipse.team.svn.ui,1.0.1.I20130306-1700,"org.eclipse.team.svn.ui",1416922545621
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,3.0.1.I20130301-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1416922545621
started,bundle,org.polarion.eclipse.team.svn.connector.javahl17,3.0.1.I20130301-1700,"org.polarion.eclipse.team.svn.connector.javahl17",1416922545621
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,3.0.1.I20130301-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1416922545621
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit17,3.0.1.I20130507-1700,"org.polarion.eclipse.team.svn.connector.svnkit17",1416922545621
started,bundle,org.codehaus.groovy.eclipse,1.5.7.20081120_2330,"org.codehaus.groovy.eclipse",1416922545621
os,sysinfo,,,"win32",1416922545629
arch,sysinfo,,,"x86",1416922545629
ws,sysinfo,,,"win32",1416922545629
locale,sysinfo,,,"zh_CN",1416922545629
processors,sysinfo,,,"4",1416922545630
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416922545630
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1416922545630
java.specification.name,sysinfo,,,"Java Platform API Specification",1416922545630
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416922545630
java.specification.version,sysinfo,,,"1.7",1416922545630
java.vendor,sysinfo,,,"Oracle Corporation",1416922545630
java.version,sysinfo,,,"1.7.0_05",1416922545630
java.vm.info,sysinfo,,,"mixed mode, sharing",1416922545630
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416922545630
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416922545630
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416922545630
java.vm.specification.version,sysinfo,,,"1.7",1416922545630
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416922545630
java.vm.version,sysinfo,,,"23.1-b03",1416922545630
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1416922547065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922548289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922572656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1416922572686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1416922576302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1416922577976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922578701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922607332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922609377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922610308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922610407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922612143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922613962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922801720
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416922808705
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1416922810987
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1416922811067
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1416922812412
